accommodates,bathrooms,bedrooms,review_scores_checkin,review_scores_communication,latitude,longitude,property_type_0,property_type_1,property_type_2,property_type_3,property_type_4,property_type_5,room_type_0,room_type_1,room_type_2,bed_type_0,bed_type_1,bed_type_2,bed_type_3,bed_type_4,beds,review_scores_value,host_listing_count,review_scores_cleanliness,review_scores_accuracy,minimum_nights,price
4,1.0,2.0,10.0,10.0,40.74139958,-73.99747325,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,1,9.0,9.0,1,400
2,1.0,1.0,10.0,10.0,40.70654355,-74.00878387,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,3,99
2,1.0,1.0,10.0,10.0,40.81904473,-73.94325286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1,10.0,10.0,2,89
4,1.0,2.0,10.0,10.0,40.72633595,-73.99377219,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,1,9.0,9.0,1,250
3,1.0,1.0,10.0,10.0,40.77245498,-73.91922627,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,2,80
1,1.0,1.0,10.0,10.0,40.69928064,-73.92903403,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,5,65
2,1.0,1.0,10.0,10.0,40.72371544,-73.98378124,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,1,100
4,1.0,2.0,10.0,10.0,40.77968507,-73.9533856,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,4,10.0,10.0,1,250
2,1.0,1.0,9.0,10.0,40.75619433,-73.93004987,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,3,9.0,9.0,2,66
6,1.0,2.0,10.0,10.0,40.69291683,-73.94824935,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,2,9.0,9.0,2,160
2,1.0,1.0,9.0,9.0,40.82322106,-73.95576409,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,3,9.0,9.0,4,70
2,1.0,1.0,8.0,9.0,40.69227781,-73.93093563,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,12,8.0,10.0,1,35
2,2.0,1.0,10.0,10.0,40.69960612,-73.94069028,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,2,9.0,9.0,2,69
2,1.0,1.0,9.0,10.0,40.73636309,-74.00194059,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,8.0,9.0,3,125
1,0.5,1.0,10.0,10.0,40.82660106,-73.94592741,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,7,50
1,1.0,1.0,10.0,10.0,40.7056668,-73.91600832,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,1,80
5,1.0,1.0,10.0,9.0,40.77322447,-73.95091014,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,10.0,3,199
4,1.0,2.0,10.0,10.0,40.72919293,-73.97794438,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,2,9.0,9.0,1,250
6,1.0,2.0,10.0,10.0,40.7076077,-73.94266309,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,2,8.0,10.0,3,140
4,1.0,0.0,10.0,8.0,40.71332286,-73.93629172,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,1,10.0,10.0,3,149
4,1.0,2.0,10.0,10.0,40.7280078,-74.00094807,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,1,9.0,9.0,1,400
2,1.5,1.0,10.0,10.0,40.70776341,-74.00196747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,1,9.0,9.0,1,150
5,1.5,1.0,10.0,10.0,40.71317202,-73.93690763,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,1,10.0,10.0,7,275
1,1.0,1.0,10.0,8.0,40.79456326,-73.96828413,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1,8.0,10.0,2,150
4,1.0,1.0,10.0,10.0,40.67660167,-73.98390418,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,1,8.0,10.0,6,139
3,1.0,1.0,10.0,10.0,40.7160687,-74.00782339,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1,10.0,10.0,3,275
2,1.0,1.0,10.0,10.0,40.81289807,-73.95213176,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,6.0,7.0,3,60
2,1.0,1.0,10.0,10.0,40.70892155,-73.96097463,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,4,60
4,1.0,1.0,10.0,10.0,40.68915093,-73.96535848,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,5,10.0,9.0,1,150
2,1.0,1.0,10.0,10.0,40.81333633,-73.94587011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,10.0,10.0,2,60
2,1.0,0.0,10.0,10.0,40.77728737,-73.98097763,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,1,250
6,1.0,2.0,10.0,10.0,40.7199267,-73.98919368,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,1,9.0,10.0,2,145
2,1.0,1.0,9.0,9.0,40.66878586,-73.98226159,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,10.0,2,65
2,1.0,1.0,10.0,10.0,40.74684398,-74.00205523,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,10.0,9.0,3,125
2,1.0,1.0,10.0,10.0,40.68208287,-73.98614377,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1,9.0,9.0,2,130
2,1.0,1.0,10.0,10.0,40.73972574,-73.98945956,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,2,350
2,1.0,1.0,10.0,10.0,40.72437725,-73.99647351,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1,10.0,10.0,2,225
2,1.0,1.0,10.0,10.0,40.73230575,-73.99672089,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,2,10.0,10.0,1,219
3,1.0,2.0,10.0,10.0,40.74389823,-74.00197266,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,8.0,10.0,2,209
3,1.0,2.0,10.0,10.0,40.72218018,-73.98432975,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,10.0,9.0,5,250
4,1.0,1.0,9.0,9.0,40.72193995,-74.00095429,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,1,7.0,9.0,1,200
3,1.0,1.0,10.0,10.0,40.80151571,-73.9586226,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,1,10.0,10.0,3,149
2,1.0,1.0,10.0,10.0,40.77732814,-73.9519571,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,1,150
6,1.0,1.0,10.0,10.0,40.70471893,-73.92130977,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,5,10.0,6.0,1,250
1,1.0,1.0,10.0,10.0,40.81414553,-73.96051433,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,1,9.0,9.0,1,50
2,1.0,1.0,9.0,9.0,40.6921529,-73.9598921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,10.0,2,60
1,1.0,1.0,10.0,10.0,40.79864744,-73.95405242,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,10.0,10.0,7,65
2,1.0,1.0,10.0,9.0,40.7105862,-73.94782826,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,2,9.0,10.0,3,95
3,1.0,1.0,9.0,10.0,40.7479741,-73.99302396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1,10.0,10.0,2,200
2,1.0,0.0,10.0,10.0,40.77487457,-73.95026251,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,1,150
4,1.0,1.0,8.0,8.0,40.69177597,-73.93229773,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,3,8.0,8.0,1,95
2,1.0,1.0,9.0,10.0,40.7831962,-73.97784602,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1,10.0,10.0,5,195
5,1.0,2.0,10.0,10.0,40.69271083,-73.92535011,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,10.0,1,10.0,10.0,3,170
1,1.0,1.0,10.0,10.0,40.73498979,-73.98032377,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,1,100
3,1.0,1.0,10.0,10.0,40.70762077,-73.96763822,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,10.0,10.0,2,450
4,1.0,2.0,10.0,10.0,40.73303812,-74.00478644,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,1,8.0,10.0,1,300
3,1.0,1.0,10.0,10.0,40.73101615,-73.9931823,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,1,9.0,9.0,2,369
2,1.0,1.0,10.0,10.0,40.74825354,-73.97154998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,3,8.0,9.0,1,118
2,1.0,1.0,10.0,10.0,40.8249946,-73.94238358,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,1,10.0,10.0,1,80
2,1.0,1.0,10.0,10.0,40.72800965,-73.99144523,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,3,149
3,1.0,1.0,9.0,9.0,40.69075031,-73.97192375,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,1,9.0,8.0,1,133
2,1.0,1.0,10.0,10.0,40.72547998,-73.9461794,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1,10.0,10.0,1,169
1,2.0,1.0,10.0,10.0,40.6729217,-73.91307535,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,3,9.0,10.0,2,50
2,1.0,2.0,10.0,9.0,40.72649204,-73.95519709,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,10.0,5,142
2,1.0,1.0,10.0,10.0,40.71575479,-73.95573829,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1,10.0,10.0,1,85
4,1.5,2.0,10.0,10.0,40.80500437,-73.94483503,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,1,9.0,9.0,7,125
2,1.0,1.0,9.0,9.0,40.75444261,-73.96906688,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,2,175
2,1.0,1.0,9.0,9.0,40.71134392,-73.96052811,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,10.0,3,85
2,1.0,1.0,10.0,10.0,40.78942979,-73.97898774,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,3,140
3,1.0,1.0,10.0,10.0,40.81091778,-73.94073536,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,1,10.0,10.0,3,195
5,1.0,2.0,9.0,10.0,40.81610845,-73.89909446,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,1,9.0,10.0,3,120
2,1.0,1.0,10.0,10.0,40.63708664,-74.02527395,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,1,99
2,1.0,1.0,9.0,9.0,40.71287167,-73.96433632,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,8,9.0,9.0,1,100
2,1.0,0.0,10.0,10.0,40.69774736,-73.93389232,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,1,8.0,10.0,2,85
2,1.0,1.0,10.0,10.0,40.67433783,-73.9546141,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,9.0,3,40
2,1.0,1.0,10.0,10.0,40.71143959,-73.96160924,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,2,10.0,9.0,1,110
2,1.0,1.0,10.0,10.0,40.8044212,-73.95238609,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1,10.0,10.0,3,117
2,1.0,1.0,10.0,10.0,40.68613409,-73.98126589,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,1,9.0,10.0,1,145
6,1.0,1.0,9.0,9.0,40.68193714,-73.94067866,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,8.0,4,8.0,8.0,3,75
4,1.0,2.0,9.0,9.0,40.7474812,-73.98239466,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,4,10.0,10.0,1,445
4,1.0,1.0,9.0,9.0,40.7694072,-73.95049759,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,1,8.0,9.0,1,99
2,1.0,1.0,10.0,10.0,40.71879473,-73.9895761,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,2,10.0,10.0,3,150
4,1.5,2.0,10.0,10.0,40.58042461,-73.96015422,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,1,9.0,9.0,1,149
2,2.0,1.0,9.0,10.0,40.80093343,-73.9547903,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,5,8.0,8.0,7,85
2,1.0,1.0,9.0,10.0,40.86543936,-73.92619426,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,2,8.0,10.0,2,90
3,1.0,1.0,9.0,10.0,40.6680139,-73.98464529,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1,9.0,10.0,2,110
