id,host_since,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_listing_count,price
4332961,1351,10002,40.7199267,-73.98919368,0,0,6,1,2,2,0,2,2,24,29,59,89,358,4,2508,2555,95,10,9,10,10,10,10,1,145
1846580,2125,11215,40.66878586,-73.98226159,0,1,2,1,1,1,0,1,2,30,30,56,86,361,27,2204,2527,88,10,9,9,9,10,9,1,65
67145,1094,10011,40.74684398,-74.00205523,0,1,2,1,1,1,0,1,3,8,17,17,17,78,17,1207,2415,94,9,10,10,10,10,9,1,125
67272,1095,11217,40.68208287,-73.98614377,0,0,2,1,1,1,0,2,2,365,0,1,1,1,41,1136,2546,96,9,9,10,10,9,10,1,130
3540734,1339,10010,40.73972574,-73.98945956,0,0,2,1,1,1,0,1,2,1125,30,60,90,365,0,,,,,,,,,,1,350
3344643,1311,10012,40.72437725,-73.99647351,0,0,2,1,1,1,0,2,2,1125,0,1,31,274,4,2436,2478,100,10,10,10,10,10,10,1,225
1509665,1777,10011,40.73230575,-73.99672089,0,0,2,1,1,1,0,1,1,1125,0,0,0,107,17,2113,2483,97,10,10,10,10,10,10,2,219
2351967,2228,10011,40.74389823,-74.00197266,0,0,3,1,2,1,0,2,2,1125,0,0,0,229,6,2361,2506,87,10,8,10,10,10,9,1,209
511887,1376,10002,40.72218018,-73.98432975,0,0,3,1,2,1,0,1,5,21,29,59,89,364,2,1645,1658,97,9,10,10,10,10,9,1,250
265626,1409,10013,40.72193995,-74.00095429,0,0,4,1,1,1,0,2,1,365,28,58,88,363,37,1420,2541,87,9,7,9,9,9,8,1,200
45134,954,10025,40.80151571,-73.9586226,0,0,3,1,1,2,0,2,3,365,0,0,0,0,36,974,1582,95,10,10,10,10,9,9,1,149
2391094,2235,10028,40.77732814,-73.9519571,0,0,2,1,1,1,0,2,1,7,0,0,0,62,0,,,,,,,,,,1,150
752699,1233,11237,40.70471893,-73.92130977,0,1,6,1,1,2,0,2,1,1125,28,58,88,363,2,1770,1928,89,6,10,10,10,8,9,5,250
3883866,2418,10027,40.81414553,-73.96051433,0,1,1,1,1,2,0,1,1,11,0,2,32,307,0,,,,,,,,,,1,50
1018769,1909,11205,40.6921529,-73.9598921,0,1,2,1,1,1,0,2,2,30,19,49,68,343,27,2005,2533,91,10,9,9,9,9,9,1,60
840989,1633,10026,40.79864744,-73.95405242,0,1,1,1,1,1,0,1,7,15,27,57,87,362,20,1976,2449,98,10,10,10,10,9,9,1,65
949455,1749,11211,40.7105862,-73.94782826,0,1,2,1,1,1,0,1,3,90,11,11,11,246,44,1915,2542,94,10,9,10,9,9,9,2,95
1456565,1407,10010,40.7479741,-73.99302396,0,1,3,1,1,1,0,2,2,100,20,48,48,259,8,2322,2498,95,10,10,9,10,10,10,1,200
4516565,2112,10028,40.77487457,-73.95026251,0,0,2,1,0,1,0,1,1,1125,3,33,63,338,0,,,,,,,,,,1,150
2318157,1984,11221,40.69177597,-73.93229773,0,0,4,1,1,2,0,4,1,1125,28,58,88,363,37,2238,2555,79,8,8,8,8,7,8,3,95
672616,1702,10024,40.7831962,-73.97784602,0,0,2,1,1,1,0,1,5,1125,0,0,0,118,3,1721,2370,98,10,10,9,10,10,10,1,195
4250746,2466,11221,40.69271083,-73.92535011,0,0,5,1,2,3,0,4,3,1125,29,59,89,364,5,2482,2539,100,10,10,10,10,9,10,1,170
3419800,2365,10010,40.73498979,-73.98032377,0,1,1,1,1,1,0,1,1,1125,0,0,0,164,0,,,,,,,,,,1,100
531208,1610,11211,40.70762077,-73.96763822,2,0,3,1,1,1,0,2,2,15,30,60,90,355,11,1687,2380,98,10,10,10,10,10,9,1,450
1346501,1683,10014,40.73303812,-74.00478644,0,0,4,1,2,2,0,1,1,1125,9,9,9,224,2,2048,2198,96,10,8,10,10,10,9,1,300
3457987,2371,10003,40.73101615,-73.9931823,0,0,3,1,1,1,0,2,2,1125,30,60,90,365,4,2433,2533,90,9,9,10,10,10,7,1,369
560075,1638,10016,40.74825354,-73.97154998,0,1,2,1,1,1,0,1,1,1125,30,60,90,365,12,1738,2529,95,9,8,10,10,10,9,3,118
3849812,1871,10039,40.8249946,-73.94238358,0,1,2,1,1,2,0,1,1,1125,30,60,90,365,4,2469,2489,100,10,10,10,10,10,10,1,80
4595519,2171,10003,40.72800965,-73.99144523,0,0,2,1,1,1,0,1,3,1125,7,7,23,44,0,,,,,,,,,,1,149
799319,1295,11205,40.69075031,-73.97192375,0,0,3,1,1,2,0,1,1,1125,30,60,90,365,30,1813,2543,90,8,9,9,9,10,9,1,133
335778,1497,11222,40.72547998,-73.9461794,0,0,2,1,1,1,0,1,1,8,0,8,9,284,6,2071,2461,100,10,10,10,10,10,10,1,169
54486,1010,11233,40.6729217,-73.91307535,1,1,1,2,1,1,0,1,2,180,5,5,5,274,54,1070,2514,94,10,9,10,10,8,9,3,50
729214,1741,11222,40.72649204,-73.95519709,0,0,2,1,2,1,0,1,5,1125,16,46,76,351,5,1763,2501,100,10,9,10,9,10,9,1,142
4585985,2073,11211,40.71575479,-73.95573829,0,1,2,1,1,1,0,2,1,1125,0,0,0,28,1,2551,2551,100,10,10,10,10,10,10,1,85
1198681,1896,10027,40.80500437,-73.94483503,0,0,4,1.5,2,2,0,2,7,31,28,43,73,346,3,2012,2535,100,9,9,10,10,9,9,1,125
144428,1260,10022,40.75444261,-73.96906688,0,0,2,,1,1,0,1,2,35,12,26,56,331,36,1306,2543,90,9,9,9,9,10,9,1,175
1313258,1605,11211,40.71134392,-73.96052811,0,1,2,1,1,1,0,2,3,21,30,60,90,365,33,2026,2512,95,10,9,9,9,10,9,1,85
4582817,1719,10024,40.78942979,-73.97898774,0,0,2,1,1,1,0,1,3,1125,0,0,0,23,0,,,,,,,,,,1,140
1979502,2149,10037,40.81091778,-73.94073536,0,0,3,1,1,2,0,1,3,7,30,60,90,365,1,2194,2194,97,10,10,10,10,8,10,1,195
449680,1517,10455,40.81610845,-73.89909446,0,0,5,1,2,2,0,2,3,365,28,58,88,363,23,1648,2533,93,10,9,9,10,8,10,1,120
4840594,2541,11220,40.63708664,-74.02527395,0,1,2,1,1,1,0,1,1,1125,0,0,2,277,0,,,,,,,,,,1,99
1960489,1772,11249,40.71287167,-73.96433632,0,1,2,1,1,1,0,1,1,1500,10,13,43,310,32,2154,2555,89,9,9,9,9,9,9,8,100
2694583,1908,11206,40.69774736,-73.93389232,0,0,2,1,0,1,0,1,2,7,12,42,72,347,3,2477,2542,90,10,8,10,10,9,7,1,85
4808316,1287,11216,40.67433783,-73.9546141,0,1,2,1,1,1,0,1,3,35,10,10,10,219,0,,,,,,,,,,1,40
1193712,1953,11211,40.71143959,-73.96160924,0,1,2,1,1,1,0,1,1,93,10,10,19,294,21,2088,2542,96,9,10,10,10,10,9,2,110
130640,1245,10026,40.8044212,-73.95238609,0,0,2,1,1,1,0,2,3,365,21,51,81,346,2,1462,2197,97,10,10,10,10,8,10,1,117
2198554,2202,11217,40.68613409,-73.98126589,0,0,2,1,1,1,0,2,1,20,28,58,88,363,6,2294,2448,97,10,9,10,10,9,9,1,145
1655824,1931,11216,40.68193714,-73.94067866,0,0,6,1,1,6,0,1,3,14,30,60,90,365,5,2100,2498,87,8,8,9,9,8,8,4,75
2907668,1659,10016,40.7474812,-73.98239466,0,0,4,1,2,2,0,4,1,1125,24,54,84,359,16,2331,2541,99,10,10,9,9,10,10,4,445
16089,1248,10075,40.7694072,-73.95049759,0,0,4,1,1,2,0,2,1,365,2,8,9,284,99,822,2517,91,9,8,9,9,9,9,1,99
384058,1444,10002,40.71879473,-73.9895761,0,1,2,1,1,1,0,1,3,14,30,60,90,365,9,1713,2251,98,10,10,10,10,10,10,2,150
3798625,2326,11235,40.58042461,-73.96015422,0,0,4,1.5,2,2,0,1,1,1125,0,24,54,329,0,,,,,,,,,,1,149
221421,700,10026,40.80093343,-73.9547903,4,1,2,2,1,1,0,1,7,1125,30,60,90,365,11,1358,1668,89,8,8,9,10,8,9,5,85
2547067,2024,10040,40.86543936,-73.92619426,0,0,2,1,1,2,0,1,2,12,24,54,84,359,8,2296,2507,98,10,8,9,10,9,10,2,90
1964864,1665,11215,40.6680139,-73.98464529,0,0,3,1,1,1,0,3,2,1125,0,0,0,154,3,2512,2551,93,10,9,9,10,10,10,1,110
1115381,1943,11217,40.67770907,-73.98152219,0,1,1,1.5,1,1,0,1,2,1125,21,21,21,21,0,,,,,,,,,,1,70
4549951,2505,11101,40.74829995,-73.94799179,0,0,3,1,1,1,0,1,1,1125,0,0,0,22,1,2551,2551,100,10,10,10,10,10,10,1,80
4846600,2497,11206,40.69901111,-73.93308655,0,0,3,1,1,2,0,2,6,41,13,42,42,42,0,,,,,,,,,,1,86
2192512,1229,11201,40.70215559,-73.98802023,0,0,4,1,2,3,0,1,2,1125,7,26,39,39,1,2497,2497,40,10,8,2,6,8,4,2,189
1806378,1535,11238,40.68585325,-73.97016479,0,0,4,2,1,2,0,1,2,1125,9,38,55,268,12,2145,2352,97,10,10,10,10,10,10,3,280
4868464,2545,11215,40.67183897,-73.99144157,4,2,1,1,1,1,0,1,1,1125,4,4,4,4,0,,,,,,,,,,1,39
2248368,1518,11374,40.72595532,-73.8579586,0,1,3,1,1,2,0,1,1,1125,30,46,61,336,18,2354,2550,96,10,10,10,9,9,9,1,65
3170279,2339,10011,40.74846369,-74.00031386,0,0,3,1,2,2,0,1,3,1125,30,60,90,365,0,,,,,,,,,,1,230
485026,1598,11215,40.67858307,-73.98537418,0,1,2,1,1,1,0,2,1,1125,29,59,89,364,17,1693,2372,97,10,10,10,10,9,10,2,70
583352,1601,10009,40.72304199,-73.97923441,2,0,2,1,1,1,0,2,21,60,0,0,0,0,5,1700,1997,96,10,9,9,10,10,10,1,120
52294,994,10002,40.71540304,-73.991268,0,0,1,1,0,1,0,1,5,90,29,29,29,29,70,1019,2537,94,9,9,10,10,9,9,1,155
1283569,1995,10036,40.77612005,-73.98257184,0,0,5,1,2,2,0,4,4,1125,20,50,68,333,43,2049,2544,87,9,8,10,10,9,9,1,220
